"Series";"Time";"Value"
"tpsrv010.cern.ch";"2019-08-13T07:30:00+02:00";291345089.06
"tpsrv010.cern.ch";"2019-08-13T08:00:00+02:00";179628661.07444444
"tpsrv010.cern.ch";"2019-08-13T08:30:00+02:00";88450357.10333334
"tpsrv010.cern.ch";"2019-08-13T09:00:00+02:00";70781140.74333334
"tpsrv010.cern.ch";"2019-08-13T09:30:00+02:00";48334859.53222222
"tpsrv010.cern.ch";"2019-08-13T10:00:00+02:00";51077665.655555554
"tpsrv010.cern.ch";"2019-08-13T10:30:00+02:00";63181302.44444445
"tpsrv010.cern.ch";"2019-08-13T11:00:00+02:00";86853437.77333333
"tpsrv010.cern.ch";"2019-08-13T11:30:00+02:00";96939585.31333333
"tpsrv010.cern.ch";"2019-08-13T12:00:00+02:00";195129909.81777778
"tpsrv010.cern.ch";"2019-08-13T12:30:00+02:00";259814361.8311111
"tpsrv010.cern.ch";"2019-08-13T13:00:00+02:00";279270259.4822222
"tpsrv010.cern.ch";"2019-08-13T13:30:00+02:00";269447863.20666665
"tpsrv010.cern.ch";"2019-08-13T14:00:00+02:00";186885060.16444445
"tpsrv010.cern.ch";"2019-08-13T14:30:00+02:00";181765601
"tpsrv010.cern.ch";"2019-08-13T15:00:00+02:00";246842981.68444446
"tpsrv010.cern.ch";"2019-08-13T15:30:00+02:00";149849365.31111112
"tpsrv010.cern.ch";"2019-08-13T16:00:00+02:00";193340310.16444445
"tpsrv010.cern.ch";"2019-08-13T16:30:00+02:00";76804431.8
"tpsrv010.cern.ch";"2019-08-13T17:00:00+02:00";54703164.29111111
"tpsrv010.cern.ch";"2019-08-13T17:30:00+02:00";66576724.13555556
"tpsrv010.cern.ch";"2019-08-13T18:00:00+02:00";142251877.7311111
"tpsrv010.cern.ch";"2019-08-13T18:30:00+02:00";266801330.66444445
"tpsrv010.cern.ch";"2019-08-13T19:00:00+02:00";245779968.41555557
"tpsrv010.cern.ch";"2019-08-13T19:30:00+02:00";256150109.5111111
"tpsrv010.cern.ch";"2019-08-13T20:00:00+02:00";192547311.86444443
"tpsrv010.cern.ch";"2019-08-13T20:30:00+02:00";265110329.14666668
"tpsrv010.cern.ch";"2019-08-13T21:00:00+02:00";262005916.40888888
"tpsrv010.cern.ch";"2019-08-13T21:30:00+02:00";165680776.52
"tpsrv010.cern.ch";"2019-08-13T22:00:00+02:00";188591640.48444444
"tpsrv010.cern.ch";"2019-08-13T22:30:00+02:00";178553408.62666667
"tpsrv010.cern.ch";"2019-08-13T23:00:00+02:00";93233245.96444444
"tpsrv010.cern.ch";"2019-08-13T23:30:00+02:00";110634196.98888889
"tpsrv010.cern.ch";"2019-08-14T00:00:00+02:00";137351600.18222222
"tpsrv010.cern.ch";"2019-08-14T00:30:00+02:00";162286104.77666667
"tpsrv010.cern.ch";"2019-08-14T01:00:00+02:00";143021715.63222224
"tpsrv010.cern.ch";"2019-08-14T01:30:00+02:00";159930995.26666668
"tpsrv010.cern.ch";"2019-08-14T02:00:00+02:00";121466010.97777778
"tpsrv010.cern.ch";"2019-08-14T02:30:00+02:00";146005543.7911111
"tpsrv010.cern.ch";"2019-08-14T03:00:00+02:00";172214232.6
"tpsrv010.cern.ch";"2019-08-14T03:30:00+02:00";56035312.475555554
"tpsrv010.cern.ch";"2019-08-14T04:00:00+02:00";74996335.29222222
"tpsrv010.cern.ch";"2019-08-14T04:30:00+02:00";61179967.36111111
"tpsrv010.cern.ch";"2019-08-14T05:00:00+02:00";66708960.43444444
"tpsrv010.cern.ch";"2019-08-14T05:30:00+02:00";30631855.21111111
"tpsrv010.cern.ch";"2019-08-14T06:00:00+02:00";95200087.9211111
"tpsrv010.cern.ch";"2019-08-14T06:30:00+02:00";58385322.80444445
"tpsrv010.cern.ch";"2019-08-14T07:00:00+02:00";68402583.28
"tpsrv010.cern.ch";"2019-08-14T07:30:00+02:00";56540966.27111111
"tpsrv010.cern.ch";"2019-08-14T08:00:00+02:00";68752696.46666667
"tpsrv010.cern.ch";"2019-08-14T08:30:00+02:00";59999574.25777778
"tpsrv010.cern.ch";"2019-08-14T09:00:00+02:00";92663657.83333333
"tpsrv010.cern.ch";"2019-08-14T09:30:00+02:00";38650091.607777774
"tpsrv010.cern.ch";"2019-08-14T10:00:00+02:00";78663350.15888889
"tpsrv010.cern.ch";"2019-08-14T10:30:00+02:00";251755927.33333334
"tpsrv010.cern.ch";"2019-08-14T11:00:00+02:00";224856912.66222224
"tpsrv010.cern.ch";"2019-08-14T11:30:00+02:00";65937665.171111114
"tpsrv010.cern.ch";"2019-08-14T12:00:00+02:00";80416101.48666666
"tpsrv010.cern.ch";"2019-08-14T12:30:00+02:00";154961498.2222222
"tpsrv010.cern.ch";"2019-08-14T13:00:00+02:00";178570135.66222224
"tpsrv010.cern.ch";"2019-08-14T13:30:00+02:00";240981347.99555555
"tpsrv010.cern.ch";"2019-08-14T14:00:00+02:00";264130770.73333332
