"Time";"tpsrv010.cern.ch";"tpsrv011.cern.ch";"tpsrv012.cern.ch";"tpsrv013.cern.ch";"tpsrv103.cern.ch";"tpsrv104.cern.ch";"tpsrv108.cern.ch";"tpsrv109.cern.ch";"tpsrv112.cern.ch";"tpsrv113.cern.ch";"tpsrv114.cern.ch";"tpsrv115.cern.ch";"tpsrv116.cern.ch";"tpsrv117.cern.ch";"tpsrv118.cern.ch";"tpsrv119.cern.ch";"tpsrv210.cern.ch";"tpsrv211.cern.ch";"tpsrv213.cern.ch";"tpsrv221.cern.ch";"tpsrv222.cern.ch";"tpsrv223.cern.ch";"tpsrv224.cern.ch";"tpsrv410.cern.ch"
"2019-08-10T14:00:00";177772065.00555557;207638010.71444446;153366373.23777777;138664817.51666668;;;;;;280340987.00222224;;;;;;;;;;277806889.8111111;264959302.91333333;287727448.6511111;;
"2019-08-10T14:30:00";186538732.86444443;193853102.13;154056840.4422222;166064823.98666668;;;;;;242741676.5088889;;;;;;;;;;259396522.2111111;271068516.98444444;264393213.70666668;;
"2019-08-10T15:00:00";172879215.80555555;176849447.26555556;144425811.9511111;132761533.8;;;;;;274139581.0888889;;;;;;;;;;247278442.62222221;265857744.64;250923754.3511111;;
"2019-08-10T15:30:00";167133366.99444443;219360397.21888888;134115820.44444445;133703229.70111111;;;;;;246702294.1688889;;;5826823.09;;;5826823.201111111;;;;234903886.6577778;279662604.66888887;281641532.21555555;;
"2019-08-10T16:00:00";103902945.08;139330673.55555555;44825717.38;65042095.05888889;;;;;;251402029.24;;;41304486.03333333;;;35055457.75333333;;;;106946649.59333333;286696040.91333336;267225285.7911111;;
"2019-08-10T16:30:00";130372345.61555555;120962395.90888889;62254752.80222222;91834105.62222221;;;;;;287073238.6333333;;;8558697.114444444;;;12860983.956666667;;;;64854848.63666666;284989166.8688889;271062546.97333336;;
"2019-08-10T17:00:00";158050521.25;147537364.56777778;125469158.10666667;145310125.91333333;;;;;;249582137.57777777;;;;;;;;;;135949547.79333332;268504128.7;185881030.90666667;;
"2019-08-10T17:30:00";118058961.11222222;190794268.58888888;143560287.12333333;126253417.2188889;;;;;;166122495.67777777;;;;;;;;;;200544139.6922222;261469383.13777778;103048218.28666666;;
"2019-08-10T18:00:00";78321684.44444445;161063767.96333334;131016939.39777778;124094776.22333333;;;;;;80049094.14444445;;;;;;;;;;174840961.4377778;93633751.93444444;91850127.42;;
"2019-08-10T18:30:00";181251933.76;191553478.75111112;153807508.65444446;131368945.26777777;;;;;;93941630.86666666;;;;;;;1456501.5711111112;;;46555457.21777778;132032763.39666666;87292391.71111111;;
"2019-08-10T19:00:00";70731768.86222222;191015785.8288889;184061291.7611111;185171339.67333335;;;;;;174900233.53333333;;;;;;;;;;226474659.88;250390281.1488889;250368286.71555555;;
"2019-08-10T19:30:00";;111410010.88666667;83701837.06111111;90800079.23111111;;;;;;287910658.98444444;;;19781110.586666666;;;24123155.86222222;;;;261209714.67777777;299980824.74;260613908.25333333;;
"2019-08-10T20:00:00";;0;67556720.50666666;40329585.781111114;;;;;;275045305.1311111;;;;;;;;;;261828387.65555555;269265523.7133333;294362701.8244445;;
"2019-08-10T20:30:00";;;59001664.134444445;80180023.94444445;;;;;;281656533.76;;;;;;;;;;268422140.8888889;249036287.18666667;269630346.20444447;;
"2019-08-10T21:00:00";;;58477368.04444444;70366364.84444444;;;;;;268439756.80222225;;;;;;;2809601.8977777776;;;249742344.53777778;181696420.78;242191311.0622222;;
